fname,continuum_member,condition,itemnum,Group,Block
list0_dg09_105_highmid.ogg,9,highmid,105,0,with_precursor
list0_dg09_113_highmid.ogg,9,highmid,113,0,with_precursor
list0_dg09_121_midhigh.ogg,9,midhigh,121,0,with_precursor
list0_dg09_129_midhigh.ogg,9,midhigh,129,0,with_precursor
list0_dg09_137_midhigh.ogg,9,midhigh,137,0,with_precursor
list0_dg09_145_midhigh.ogg,9,midhigh,145,0,with_precursor
list0_dg09_153_midhigh.ogg,9,midhigh,153,0,with_precursor
list0_dg09_17_lowmid.ogg,9,lowmid,17,0,with_precursor
list0_dg09_1_lowmid.ogg,9,lowmid,1,0,with_precursor
list0_dg09_25_lowmid.ogg,9,lowmid,25,0,with_precursor
list0_dg09_33_lowmid.ogg,9,lowmid,33,0,with_precursor
list0_dg09_41_midlow.ogg,9,midlow,41,0,with_precursor
list0_dg09_49_midlow.ogg,9,midlow,49,0,with_precursor
list0_dg09_57_midlow.ogg,9,midlow,57,0,with_precursor
list0_dg09_65_midlow.ogg,9,midlow,65,0,with_precursor
list0_dg09_73_midlow.ogg,9,midlow,73,0,with_precursor
list0_dg09_81_highmid.ogg,9,highmid,81,0,with_precursor
list0_dg09_89_highmid.ogg,9,highmid,89,0,with_precursor
list0_dg09_97_highmid.ogg,9,highmid,97,0,with_precursor
list0_dg09_9_lowmid.ogg,9,lowmid,9,0,with_precursor
list0_dg10_106_highmid.ogg,10,highmid,106,0,with_precursor
list0_dg10_10_lowmid.ogg,10,lowmid,10,0,with_precursor
list0_dg10_114_highmid.ogg,10,highmid,114,0,with_precursor
list0_dg10_122_midhigh.ogg,10,midhigh,122,0,with_precursor
list0_dg10_130_midhigh.ogg,10,midhigh,130,0,with_precursor
list0_dg10_138_midhigh.ogg,10,midhigh,138,0,with_precursor
list0_dg10_146_midhigh.ogg,10,midhigh,146,0,with_precursor
list0_dg10_154_midhigh.ogg,10,midhigh,154,0,with_precursor
list0_dg10_18_lowmid.ogg,10,lowmid,18,0,with_precursor
list0_dg10_26_lowmid.ogg,10,lowmid,26,0,with_precursor
list0_dg10_2_lowmid.ogg,10,lowmid,2,0,with_precursor
list0_dg10_34_lowmid.ogg,10,lowmid,34,0,with_precursor
list0_dg10_42_midlow.ogg,10,midlow,42,0,with_precursor
list0_dg10_50_midlow.ogg,10,midlow,50,0,with_precursor
list0_dg10_58_midlow.ogg,10,midlow,58,0,with_precursor
list0_dg10_66_midlow.ogg,10,midlow,66,0,with_precursor
list0_dg10_74_midlow.ogg,10,midlow,74,0,with_precursor
list0_dg10_82_highmid.ogg,10,highmid,82,0,with_precursor
list0_dg10_90_highmid.ogg,10,highmid,90,0,with_precursor
list0_dg10_98_highmid.ogg,10,highmid,98,0,with_precursor
list0_dg11_107_highmid.ogg,11,highmid,107,0,with_precursor
list0_dg11_115_highmid.ogg,11,highmid,115,0,with_precursor
list0_dg11_11_lowmid.ogg,11,lowmid,11,0,with_precursor
list0_dg11_123_midhigh.ogg,11,midhigh,123,0,with_precursor
list0_dg11_131_midhigh.ogg,11,midhigh,131,0,with_precursor
list0_dg11_139_midhigh.ogg,11,midhigh,139,0,with_precursor
list0_dg11_147_midhigh.ogg,11,midhigh,147,0,with_precursor
list0_dg11_155_midhigh.ogg,11,midhigh,155,0,with_precursor
list0_dg11_19_lowmid.ogg,11,lowmid,19,0,with_precursor
list0_dg11_27_lowmid.ogg,11,lowmid,27,0,with_precursor
list0_dg11_35_lowmid.ogg,11,lowmid,35,0,with_precursor
list0_dg11_3_lowmid.ogg,11,lowmid,3,0,with_precursor
list0_dg11_43_midlow.ogg,11,midlow,43,0,with_precursor
list0_dg11_51_midlow.ogg,11,midlow,51,0,with_precursor
list0_dg11_59_midlow.ogg,11,midlow,59,0,with_precursor
list0_dg11_67_midlow.ogg,11,midlow,67,0,with_precursor
list0_dg11_75_midlow.ogg,11,midlow,75,0,with_precursor
list0_dg11_83_highmid.ogg,11,highmid,83,0,with_precursor
list0_dg11_91_highmid.ogg,11,highmid,91,0,with_precursor
list0_dg11_99_highmid.ogg,11,highmid,99,0,with_precursor
list0_dg12_100_highmid.ogg,12,highmid,100,0,with_precursor
list0_dg12_108_highmid.ogg,12,highmid,108,0,with_precursor
list0_dg12_116_highmid.ogg,12,highmid,116,0,with_precursor
list0_dg12_124_midhigh.ogg,12,midhigh,124,0,with_precursor
list0_dg12_12_lowmid.ogg,12,lowmid,12,0,with_precursor
list0_dg12_132_midhigh.ogg,12,midhigh,132,0,with_precursor
list0_dg12_140_midhigh.ogg,12,midhigh,140,0,with_precursor
list0_dg12_148_midhigh.ogg,12,midhigh,148,0,with_precursor
list0_dg12_156_midhigh.ogg,12,midhigh,156,0,with_precursor
list0_dg12_20_lowmid.ogg,12,lowmid,20,0,with_precursor
list0_dg12_28_lowmid.ogg,12,lowmid,28,0,with_precursor
list0_dg12_36_lowmid.ogg,12,lowmid,36,0,with_precursor
list0_dg12_44_midlow.ogg,12,midlow,44,0,with_precursor
list0_dg12_4_lowmid.ogg,12,lowmid,4,0,with_precursor
list0_dg12_52_midlow.ogg,12,midlow,52,0,with_precursor
list0_dg12_60_midlow.ogg,12,midlow,60,0,with_precursor
list0_dg12_68_midlow.ogg,12,midlow,68,0,with_precursor
list0_dg12_76_midlow.ogg,12,midlow,76,0,with_precursor
list0_dg12_84_highmid.ogg,12,highmid,84,0,with_precursor
list0_dg12_92_highmid.ogg,12,highmid,92,0,with_precursor
list0_dg13_101_highmid.ogg,13,highmid,101,0,with_precursor
list0_dg13_109_highmid.ogg,13,highmid,109,0,with_precursor
list0_dg13_117_highmid.ogg,13,highmid,117,0,with_precursor
list0_dg13_125_midhigh.ogg,13,midhigh,125,0,with_precursor
list0_dg13_133_midhigh.ogg,13,midhigh,133,0,with_precursor
list0_dg13_13_lowmid.ogg,13,lowmid,13,0,with_precursor
list0_dg13_141_midhigh.ogg,13,midhigh,141,0,with_precursor
list0_dg13_149_midhigh.ogg,13,midhigh,149,0,with_precursor
list0_dg13_157_midhigh.ogg,13,midhigh,157,0,with_precursor
list0_dg13_21_lowmid.ogg,13,lowmid,21,0,with_precursor
list0_dg13_29_lowmid.ogg,13,lowmid,29,0,with_precursor
list0_dg13_37_lowmid.ogg,13,lowmid,37,0,with_precursor
list0_dg13_45_midlow.ogg,13,midlow,45,0,with_precursor
list0_dg13_53_midlow.ogg,13,midlow,53,0,with_precursor
list0_dg13_5_lowmid.ogg,13,lowmid,5,0,with_precursor
list0_dg13_61_midlow.ogg,13,midlow,61,0,with_precursor
list0_dg13_69_midlow.ogg,13,midlow,69,0,with_precursor
list0_dg13_77_midlow.ogg,13,midlow,77,0,with_precursor
list0_dg13_85_highmid.ogg,13,highmid,85,0,with_precursor
list0_dg13_93_highmid.ogg,13,highmid,93,0,with_precursor
list0_dg14_102_highmid.ogg,14,highmid,102,0,with_precursor
list0_dg14_110_highmid.ogg,14,highmid,110,0,with_precursor
list0_dg14_118_highmid.ogg,14,highmid,118,0,with_precursor
list0_dg14_126_midhigh.ogg,14,midhigh,126,0,with_precursor
list0_dg14_134_midhigh.ogg,14,midhigh,134,0,with_precursor
list0_dg14_142_midhigh.ogg,14,midhigh,142,0,with_precursor
list0_dg14_14_lowmid.ogg,14,lowmid,14,0,with_precursor
list0_dg14_150_midhigh.ogg,14,midhigh,150,0,with_precursor
list0_dg14_158_midhigh.ogg,14,midhigh,158,0,with_precursor
list0_dg14_22_lowmid.ogg,14,lowmid,22,0,with_precursor
list0_dg14_30_lowmid.ogg,14,lowmid,30,0,with_precursor
list0_dg14_38_lowmid.ogg,14,lowmid,38,0,with_precursor
list0_dg14_46_midlow.ogg,14,midlow,46,0,with_precursor
list0_dg14_54_midlow.ogg,14,midlow,54,0,with_precursor
list0_dg14_62_midlow.ogg,14,midlow,62,0,with_precursor
list0_dg14_6_lowmid.ogg,14,lowmid,6,0,with_precursor
list0_dg14_70_midlow.ogg,14,midlow,70,0,with_precursor
list0_dg14_78_midlow.ogg,14,midlow,78,0,with_precursor
list0_dg14_86_highmid.ogg,14,highmid,86,0,with_precursor
list0_dg14_94_highmid.ogg,14,highmid,94,0,with_precursor
list0_dg15_103_highmid.ogg,15,highmid,103,0,with_precursor
list0_dg15_111_highmid.ogg,15,highmid,111,0,with_precursor
list0_dg15_119_highmid.ogg,15,highmid,119,0,with_precursor
list0_dg15_127_midhigh.ogg,15,midhigh,127,0,with_precursor
list0_dg15_135_midhigh.ogg,15,midhigh,135,0,with_precursor
list0_dg15_143_midhigh.ogg,15,midhigh,143,0,with_precursor
list0_dg15_151_midhigh.ogg,15,midhigh,151,0,with_precursor
list0_dg15_159_midhigh.ogg,15,midhigh,159,0,with_precursor
list0_dg15_15_lowmid.ogg,15,lowmid,15,0,with_precursor
list0_dg15_23_lowmid.ogg,15,lowmid,23,0,with_precursor
list0_dg15_31_lowmid.ogg,15,lowmid,31,0,with_precursor
list0_dg15_39_lowmid.ogg,15,lowmid,39,0,with_precursor
list0_dg15_47_midlow.ogg,15,midlow,47,0,with_precursor
list0_dg15_55_midlow.ogg,15,midlow,55,0,with_precursor
list0_dg15_63_midlow.ogg,15,midlow,63,0,with_precursor
list0_dg15_71_midlow.ogg,15,midlow,71,0,with_precursor
list0_dg15_79_midlow.ogg,15,midlow,79,0,with_precursor
list0_dg15_7_lowmid.ogg,15,lowmid,7,0,with_precursor
list0_dg15_87_highmid.ogg,15,highmid,87,0,with_precursor
list0_dg15_95_highmid.ogg,15,highmid,95,0,with_precursor
list0_dg16_104_highmid.ogg,16,highmid,104,0,with_precursor
list0_dg16_112_highmid.ogg,16,highmid,112,0,with_precursor
list0_dg16_120_highmid.ogg,16,highmid,120,0,with_precursor
list0_dg16_128_midhigh.ogg,16,midhigh,128,0,with_precursor
list0_dg16_136_midhigh.ogg,16,midhigh,136,0,with_precursor
list0_dg16_144_midhigh.ogg,16,midhigh,144,0,with_precursor
list0_dg16_152_midhigh.ogg,16,midhigh,152,0,with_precursor
list0_dg16_160_midhigh.ogg,16,midhigh,160,0,with_precursor
list0_dg16_16_lowmid.ogg,16,lowmid,16,0,with_precursor
list0_dg16_24_lowmid.ogg,16,lowmid,24,0,with_precursor
list0_dg16_32_lowmid.ogg,16,lowmid,32,0,with_precursor
list0_dg16_40_lowmid.ogg,16,lowmid,40,0,with_precursor
list0_dg16_48_midlow.ogg,16,midlow,48,0,with_precursor
list0_dg16_56_midlow.ogg,16,midlow,56,0,with_precursor
list0_dg16_64_midlow.ogg,16,midlow,64,0,with_precursor
list0_dg16_72_midlow.ogg,16,midlow,72,0,with_precursor
list0_dg16_80_midlow.ogg,16,midlow,80,0,with_precursor
list0_dg16_88_highmid.ogg,16,highmid,88,0,with_precursor
list0_dg16_8_lowmid.ogg,16,lowmid,8,0,with_precursor
list0_dg16_96_highmid.ogg,16,highmid,96,0,with_precursor
list1_dg09_105_highmid.ogg,9,highmid,105,1,with_precursor
list1_dg09_113_highmid.ogg,9,highmid,113,1,with_precursor
list1_dg09_121_midhigh.ogg,9,midhigh,121,1,with_precursor
list1_dg09_129_midhigh.ogg,9,midhigh,129,1,with_precursor
list1_dg09_137_midhigh.ogg,9,midhigh,137,1,with_precursor
list1_dg09_145_midhigh.ogg,9,midhigh,145,1,with_precursor
list1_dg09_153_midhigh.ogg,9,midhigh,153,1,with_precursor
list1_dg09_17_lowmid.ogg,9,lowmid,17,1,with_precursor
list1_dg09_1_lowmid.ogg,9,lowmid,1,1,with_precursor
list1_dg09_25_lowmid.ogg,9,lowmid,25,1,with_precursor
list1_dg09_33_lowmid.ogg,9,lowmid,33,1,with_precursor
list1_dg09_41_midlow.ogg,9,midlow,41,1,with_precursor
list1_dg09_49_midlow.ogg,9,midlow,49,1,with_precursor
list1_dg09_57_midlow.ogg,9,midlow,57,1,with_precursor
list1_dg09_65_midlow.ogg,9,midlow,65,1,with_precursor
list1_dg09_73_midlow.ogg,9,midlow,73,1,with_precursor
list1_dg09_81_highmid.ogg,9,highmid,81,1,with_precursor
list1_dg09_89_highmid.ogg,9,highmid,89,1,with_precursor
list1_dg09_97_highmid.ogg,9,highmid,97,1,with_precursor
list1_dg09_9_lowmid.ogg,9,lowmid,9,1,with_precursor
list1_dg10_106_highmid.ogg,10,highmid,106,1,with_precursor
list1_dg10_10_lowmid.ogg,10,lowmid,10,1,with_precursor
list1_dg10_114_highmid.ogg,10,highmid,114,1,with_precursor
list1_dg10_122_midhigh.ogg,10,midhigh,122,1,with_precursor
list1_dg10_130_midhigh.ogg,10,midhigh,130,1,with_precursor
list1_dg10_138_midhigh.ogg,10,midhigh,138,1,with_precursor
list1_dg10_146_midhigh.ogg,10,midhigh,146,1,with_precursor
list1_dg10_154_midhigh.ogg,10,midhigh,154,1,with_precursor
list1_dg10_18_lowmid.ogg,10,lowmid,18,1,with_precursor
list1_dg10_26_lowmid.ogg,10,lowmid,26,1,with_precursor
list1_dg10_2_lowmid.ogg,10,lowmid,2,1,with_precursor
list1_dg10_34_lowmid.ogg,10,lowmid,34,1,with_precursor
list1_dg10_42_midlow.ogg,10,midlow,42,1,with_precursor
list1_dg10_50_midlow.ogg,10,midlow,50,1,with_precursor
list1_dg10_58_midlow.ogg,10,midlow,58,1,with_precursor
list1_dg10_66_midlow.ogg,10,midlow,66,1,with_precursor
list1_dg10_74_midlow.ogg,10,midlow,74,1,with_precursor
list1_dg10_82_highmid.ogg,10,highmid,82,1,with_precursor
list1_dg10_90_highmid.ogg,10,highmid,90,1,with_precursor
list1_dg10_98_highmid.ogg,10,highmid,98,1,with_precursor
list1_dg11_107_highmid.ogg,11,highmid,107,1,with_precursor
list1_dg11_115_highmid.ogg,11,highmid,115,1,with_precursor
list1_dg11_11_lowmid.ogg,11,lowmid,11,1,with_precursor
list1_dg11_123_midhigh.ogg,11,midhigh,123,1,with_precursor
list1_dg11_131_midhigh.ogg,11,midhigh,131,1,with_precursor
list1_dg11_139_midhigh.ogg,11,midhigh,139,1,with_precursor
list1_dg11_147_midhigh.ogg,11,midhigh,147,1,with_precursor
